,timeCode,blendShapes.EyeBlinkLeft,blendShapes.EyeLookDownLeft,blendShapes.EyeLookInLeft,blendShapes.EyeLookOutLeft,blendShapes.EyeLookUpLeft,blendShapes.EyeSquintLeft,blendShapes.EyeWideLeft,blendShapes.EyeBlinkRight,blendShapes.EyeLookDownRight,blendShapes.EyeLookInRight,blendShapes.EyeLookOutRight,blendShapes.EyeLookUpRight,blendShapes.EyeSquintRight,blendShapes.EyeWideRight,blendShapes.JawForward,blendShapes.JawLeft,blendShapes.JawRight,blendShapes.JawOpen,blendShapes.MouthClose,blendShapes.MouthFunnel,blendShapes.MouthPucker,blendShapes.MouthLeft,blendShapes.MouthRight,blendShapes.MouthSmileLeft,blendShapes.MouthSmileRight,blendShapes.MouthFrownLeft,blendShapes.MouthFrownRight,blendShapes.MouthDimpleLeft,blendShapes.MouthDimpleRight,blendShapes.MouthStretchLeft,blendShapes.MouthStretchRight,blendShapes.MouthRollLower,blendShapes.MouthRollUpper,blendShapes.MouthShrugLower,blendShapes.MouthShrugUpper,blendShapes.MouthPressLeft,blendShapes.MouthPressRight,blendShapes.MouthLowerDownLeft,blendShapes.MouthLowerDownRight,blendShapes.MouthUpperUpLeft,blendShapes.MouthUpperUpRight,blendShapes.BrowDownLeft,blendShapes.BrowDownRight,blendShapes.BrowInnerUp,blendShapes.BrowOuterUpLeft,blendShapes.BrowOuterUpRight,blendShapes.CheekPuff,blendShapes.CheekSquintLeft,blendShapes.CheekSquintRight,blendShapes.NoseSneerLeft,blendShapes.NoseSneerRight,blendShapes.TongueOut,blendShapes.HeadRoll,blendShapes.HeadPitch,blendShapes.HeadYaw,blendShapes.TongueTipUp,blendShapes.TongueTipDown,blendShapes.TongueTipLeft,blendShapes.TongueTipRight,blendShapes.TongueRollUp,blendShapes.TongueRollDown,blendShapes.TongueRollLeft,blendShapes.TongueRollRight,blendShapes.TongueUp,blendShapes.TongueDown,blendShapes.TongueLeft,blendShapes.TongueRight,blendShapes.TongueIn,blendShapes.TongueStretch,blendShapes.TongueWide,blendShapes.TongueNarrow
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06843799352645874,0.0006503273616544902,0.0,0.0,0.0,0.0,0.0,0.06812234967947006,0.031502630561590195,0.011663151904940605,0.011254114098846912,0.0,0.0,0.0,0.0684768334031105,0.0,0.0008557438268326223,0.08750308305025101,0.08181966841220856,0.0,0.0001940088695846498,0.08360356092453003,0.08214902132749557,0.01663980633020401,0.016810094937682152,0.08236633986234665,0.0,0.09609363973140717,0.14554573595523834,0.08351823687553406,0.07737816125154495,0.0,0.0023645374458283186,0.00045343636884354055,0.0,0.0004341242020018399,0.0,0.0,0.013474028557538986,0.013740718364715576,0.014146113768219948,0.0,0.0,0.00013732456136494875,0.0,0.0,0.0,0.0,0.0,0.0,0.09027329087257385,0.0027158022858202457,0.0,0.0,0.18499702215194702,0.0,0.0,0.0,1.1237268447875977,0.0036787264980375767,0.0,0.023483216762542725,0.0,0.0,0.9846981763839722
1,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.11653892695903778,0.0007940403302200139,0.0,0.0,0.0,0.0,0.0,0.11612869799137115,0.032474737614393234,0.007459715008735657,0.006708618253469467,0.0,0.0,0.0,0.05525782331824303,0.0,0.0013224664144217968,0.13905341923236847,0.1322023719549179,0.0,0.00044424348743632436,0.0981513261795044,0.09653204679489136,0.01649036630988121,0.01666780188679695,0.07113076001405716,0.0,0.09654022753238678,0.14804397523403168,0.06983622163534164,0.06311742216348648,0.0,0.002977387746796012,0.03520313277840614,0.03528585657477379,0.0010457788594067097,0.0,0.0,0.047385040670633316,0.047951165586709976,0.013265283778309822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06710226833820343,0.0,0.0,0.0,0.22339937090873718,0.0,0.0,0.0,1.2000000476837158,0.008267540484666824,0.0,0.07470853626728058,0.0,0.0,1.0
2,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.15198750793933868,0.0011480625253170729,0.0,0.0,0.0,0.0,0.0,0.15144039690494537,0.02732892520725727,0.013161291368305683,0.011673575267195702,0.0,0.0,0.03893989697098732,0.04796561598777771,0.0,0.002604168141260743,0.1472816914319992,0.1401694118976593,0.0,0.000300089071970433,0.10729768872261047,0.10567709803581238,0.017399979755282402,0.017571747303009033,0.043574340641498566,0.0,0.07001478224992752,0.16057650744915009,0.06303385645151138,0.05471440777182579,0.0,0.003670367645099759,0.04394252598285675,0.04541061446070671,0.001115285325795412,0.0,0.0,0.05394550785422325,0.054554276168346405,0.012044201605021954,0.0,0.0,0.0,0.00024757476057857275,0.0,0.0,0.0,0.0,0.0,0.0,0.012158900499343872,0.0,0.0,0.2588176727294922,0.0,0.0,0.0,1.149304747581482,0.008498921990394592,0.0,0.1295270174741745,0.0,0.0,0.9742809534072876
3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.18222159147262573,0.0016099016647785902,0.0,0.0,0.0,0.0,0.0,0.18148954212665558,0.0,0.026716038584709167,0.022700389847159386,0.0,0.0,0.13762587308883667,0.08568212389945984,0.0,0.00451522646471858,0.11926531046628952,0.11305902153253555,0.0,0.0,0.0988042950630188,0.09809199720621109,0.019046511501073837,0.019349923357367516,0.052951619029045105,0.0,0.05148731544613838,0.16422423720359802,0.06207997351884842,0.052702464163303375,0.0,0.0031793813686817884,0.029426002874970436,0.030706509947776794,0.0006662281812168658,0.0,0.0,0.06373763084411621,0.06410681456327438,0.007775212172418833,2.540073182899505e-06,0.0,0.0,0.00011892400652868673,0.0,0.0,0.0,0.0,0.0,0.0,0.011774897575378418,0.0,0.0,0.2399718165397644,0.0,0.0,0.0,1.0685334205627441,0.007955491542816162,0.0,0.124396413564682,0.0,0.0,0.8985257148742676
4,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.21862342953681946,0.0017180255381390452,0.0,0.0,0.0,0.0,0.0,0.2178218811750412,0.0,0.024768706411123276,0.019172968342900276,0.029081838205456734,0.0,0.2834917902946472,0.0560593456029892,0.0,0.004586588591337204,0.07629460841417313,0.0696849450469017,0.0,0.0,0.05805473402142525,0.057820066809654236,0.01202209759503603,0.012456373311579227,0.018070146441459656,0.0,0.0,0.10469486564397812,0.041594620794057846,0.03310978040099144,0.0,0.003073952393606305,0.02348828874528408,0.024879340082406998,0.0007612257031723857,0.0,0.0,0.07515112310647964,0.07555694878101349,0.0002602010208647698,0.0004233938525430858,0.0,0.0060451640747487545,0.006302082445472479,0.0,0.0,0.0,0.0,0.0,0.05258980393409729,0.00596531480550766,0.0,0.0,0.20535242557525635,0.0,0.0,0.0,1.1121748685836792,0.006505337543785572,0.0,0.07757023721933365,0.0,0.0,0.9405710101127625
5,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.2605876624584198,0.001950038829818368,0.0,0.0,0.0,0.0,0.0,0.25960859656333923,0.010151098482310772,0.02084708772599697,0.01505782175809145,0.06601638346910477,0.116230309009552,0.3916417956352234,0.04473768174648285,0.0,0.005030872765928507,0.03285979852080345,0.030656401067972183,0.0007665020530112088,0.0,0.0,0.001026306999847293,0.004714911337941885,0.005343280732631683,0.01986021175980568,0.0,0.04812648892402649,0.04691250994801521,0.018455201759934425,0.010799086652696133,0.0,0.0018865189049392939,0.009464236907660961,0.010975864715874195,0.0009693101746961474,0.0,0.0,0.0882420763373375,0.0887451097369194,0.0,0.0006763319252058864,0.0,0.014130976982414722,0.014341813512146473,0.0,0.0,0.0,0.0,0.0,0.19643238186836243,0.0,0.0,0.0,0.13924461603164673,0.0,0.0,0.0,1.2000000476837158,0.005115581676363945,0.0,0.06143654137849808,0.0,0.0,1.0
6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.27021312713623047,0.002250179648399353,0.0,0.0,0.0,0.0,0.0,0.26907217502593994,0.046226561069488525,0.014721318148076534,0.016692612320184708,0.08445370942354202,0.3510650098323822,0.3692402243614197,0.07183583825826645,0.0,0.005594140384346247,0.0,0.005098661407828331,0.00205548875965178,0.0,0.0,0.002458052709698677,0.004905397538095713,0.00561871100217104,0.028350824490189552,0.0,0.0671132355928421,0.04113391786813736,0.014633859507739544,0.007415426429361105,0.0,0.00037527145468629897,0.0,0.002192218555137515,0.0011597065022215247,0.0,0.0,0.1073915883898735,0.10803013294935226,0.0,0.00274863513186574,0.002510327147319913,0.0,0.00031941718771122396,0.0,0.0,0.0,0.0,0.0,0.3434614837169647,0.0,0.0,0.0,0.06911597400903702,0.0,0.0,0.0,1.2000000476837158,0.0018779051024466753,0.0,0.05741225183010101,0.0,0.0,1.0
7,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.2743683159351349,0.0022604288533329964,0.0,0.0,0.0,0.0,0.0,0.27317795157432556,0.04819091409444809,0.0068602473475039005,0.01143419835716486,0.060713991522789,0.523348331451416,0.24417464435100555,0.14004182815551758,0.0,0.005888524930924177,0.0,0.008880439214408398,0.019002201035618782,0.016491614282131195,0.0,0.0030384233687072992,0.004779100883752108,0.005516604520380497,0.026443999260663986,0.0,0.09207407385110855,0.04131333902478218,0.013733421452343464,0.0066844867542386055,0.0,0.0,0.0,0.0031667612493038177,0.0014307162491604686,0.0,0.0,0.12436967343091965,0.12518779933452606,0.0,0.0,2.26808842853643e-05,0.0,0.0005053706117905676,0.0,0.0,0.0,0.0,0.0,0.36870643496513367,0.0,0.0,0.0,0.06841263175010681,0.0,0.0,0.0,1.2000000476837158,0.002100577112287283,0.0,0.07147622853517532,0.0,0.0,1.0
8,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.2605123221874237,0.002427208237349987,0.0,0.0,0.0,0.0,0.0,0.25931316614151,0.026549527421593666,0.0,0.005518204998224974,0.0,0.6852927207946777,0.14882983267307281,0.1609141230583191,0.0,0.006022137124091387,0.0,0.012497841380536556,0.030087018385529518,0.027338221669197083,0.0,0.0034605353139340878,0.0,0.0007969175348989666,0.008771882392466068,0.0,0.0792890414595604,0.05422625690698624,0.019717568531632423,0.014466403983533382,0.00030622034682892263,0.0,0.013169263489544392,0.016258805990219116,0.0017409520223736763,0.0,0.0,0.13497556746006012,0.13602980971336365,0.0,0.011922890320420265,0.012754786759614944,0.012917590327560902,0.013533690944314003,0.0,0.0,0.0,0.0,0.0,0.2237512320280075,0.0,0.0,0.0,0.15109755098819733,0.0,0.0,0.0,1.2000000476837158,0.003530637826770544,0.0,0.041780855506658554,0.0,0.0,1.0
9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.23088425397872925,0.002360814018175006,0.0,0.0,0.0,0.0,0.0,0.2297978550195694,0.0026997237000614405,0.0,0.006757540162652731,0.0,0.7750419974327087,0.09538644552230835,0.1302301287651062,0.0,0.0064636291936039925,0.0,0.015605020336806774,0.02083703503012657,0.018162941560149193,0.0,0.00392419658601284,0.0,0.0006977939046919346,0.0,0.0,0.07430364936590195,0.06361494213342667,0.02111550234258175,0.018081802874803543,0.0008724341168999672,0.0,0.014491322450339794,0.017970476299524307,0.0020151063799858093,0.0,0.0,0.14332669973373413,0.1446150690317154,0.0,0.008304229006171227,0.009960819035768509,0.01482489425688982,0.01569805108010769,0.0,0.0,0.0,0.0,0.0,0.14898249506950378,0.0,0.0,0.0,0.19723480939865112,0.0,0.0,0.0,1.1985288858413696,0.0027634701691567898,0.0,0.0,0.0,0.0,1.0
10,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.21637758612632751,0.0017191007500514388,0.0,0.0,0.0,0.0,0.0,0.21565291285514832,0.0,0.021734125912189484,0.03242070600390434,0.14783839881420135,0.6049416661262512,0.0,0.06853213161230087,0.0,0.0074879685416817665,0.030344882979989052,0.04440576955676079,0.001297062262892723,0.0,0.0,0.003892103675752878,0.0,0.0005398555076681077,0.0,0.0,0.0035524917766451836,0.06127209588885307,0.0513450913131237,0.05204775556921959,0.0,7.745475886622444e-05,0.0,0.0050240810960531235,0.002331523923203349,0.0,0.0,0.13736163079738617,0.13902680575847626,0.0,0.0,0.0029923836700618267,0.0,0.001572920591570437,0.0,0.0,0.0,0.0,0.0,0.18551206588745117,0.0025701522827148438,0.0,0.0,0.11843802034854889,0.0,0.0,0.0,1.0023525953292847,0.00021907687187194824,0.0,0.0,0.0,0.0,0.9932753443717957
11,0.36666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.219741091132164,0.001336952205747366,0.0,0.0,0.0,0.0,0.0,0.2193063497543335,0.0,0.0,0.015285166911780834,0.4403040409088135,0.18374718725681305,0.0,0.0,0.0,0.003918927628546953,0.11320040374994278,0.11723633855581284,0.0,0.0018614409491419792,0.01661137118935585,0.017638888210058212,0.00869361124932766,0.008372709155082703,0.04306763410568237,0.0,0.0,0.0,0.07033195346593857,0.07763034105300903,0.0,0.002094499533995986,0.0,0.006028804928064346,0.0019440954783931375,0.0,0.0,0.12513548135757446,0.12713505327701569,0.0,0.0,0.004791022278368473,0.0,0.001822981401346624,0.0,0.0,0.0,0.0,0.0,0.0,0.005971059203147888,0.0,0.0,0.13354182243347168,0.0,0.0,0.0,0.5854560136795044,0.001688387244939804,0.0,0.020353462547063828,0.0,0.0,0.4690273404121399
